Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
T-shirt Primavera Poliéster,2019-10-01,117,10,20,Poliéster,Primavera
Short Primavera Algodão,2019-10-01,174,18,36,Algodão,Primavera
Saia Primavera Seda,2019-10-01,137,14,28,Seda,Primavera
Cropped Primavera Linho,2019-10-01,162,12,24,Linho,Primavera
Camisa Primavera Viscose,2019-10-01,87,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2019-10-01,139,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2019-10-01,158,18,36,Algodão,Primavera
Calça Primavera Linho,2019-10-01,134,22,44,Linho,Primavera
Calça Primavera Viscose,2019-10-01,164,20,40,Viscose,Primavera
Vestido Verão Cetim,2019-11-01,116,30,60,Cetim,Verão
T-shirt Verão Poliéster,2019-11-01,174,8,16,Poliéster,Verão
Short Verão Jeans,2019-11-01,201,16,32,Jeans,Verão
Saia Verão Viscose,2019-11-01,121,12,24,Viscose,Verão
Cropped Verão Algodão,2019-11-01,119,10,20,Algodão,Verão
Camisa Verão Algodão,2019-11-01,176,22,44,Algodão,Verão
Blusa Verão Seda,2019-11-01,180,18,36,Seda,Verão
Bermuda Verão Jeans,2019-11-01,117,15,30,Jeans,Verão
Calça Verão Cetim,2019-11-01,121,25,50,Cetim,Verão
Calça Verão Tactel,2019-11-01,125,20,40,Tactel,Verão
Vestido Verão Cetim,2019-12-01,93,30,60,Cetim,Verão
T-shirt Verão Poliéster,2019-12-01,106,8,16,Poliéster,Verão
Short Verão Jeans,2019-12-01,104,16,32,Jeans,Verão
Saia Verão Viscose,2019-12-01,111,12,24,Viscose,Verão
Cropped Verão Algodão,2019-12-01,133,10,20,Algodão,Verão
Blusa Verão Seda,2019-12-01,141,18,36,Seda,Verão
Bermuda Verão Jeans,2019-12-01,181,15,30,Jeans,Verão
Calça Verão Cetim,2019-12-01,104,25,50,Cetim,Verão
Calça Verão Tactel,2019-12-01,164,20,40,Tactel,Verão
Camisa Verão Algodão,2019-12-01,128,22,44,Algodão,Verão
Saia Verão Viscose,2020-01-01,133,12,24,Viscose,Verão
Vestido Verão Cetim,2020-01-01,155,30,60,Cetim,Verão
T-shirt Verão Poliéster,2020-01-01,101,8,16,Poliéster,Verão
Short Verão Jeans,2020-01-01,147,16,32,Jeans,Verão
Cropped Verão Algodão,2020-01-01,140,10,20,Algodão,Verão
Camisa Verão Algodão,2020-01-01,150,22,44,Algodão,Verão
Blusa Verão Seda,2020-01-01,144,18,36,Seda,Verão
Bermuda Verão Jeans,2020-01-01,210,15,30,Jeans,Verão
Calça Verão Cetim,2020-01-01,117,25,50,Cetim,Verão
Calça Verão Tactel,2020-01-01,120,20,40,Tactel,Verão
Vestido Verão Cetim,2020-02-01,118,30,60,Cetim,Verão
T-shirt Verão Poliéster,2020-02-01,120,8,16,Poliéster,Verão
Short Verão Jeans,2020-02-01,117,16,32,Jeans,Verão
Saia Verão Viscose,2020-02-01,172,12,24,Viscose,Verão
Cropped Verão Algodão,2020-02-01,180,10,20,Algodão,Verão
Blusa Verão Seda,2020-02-01,120,18,36,Seda,Verão
Bermuda Verão Jeans,2020-02-01,112,15,30,Jeans,Verão
Calça Verão Cetim,2020-02-01,151,25,50,Cetim,Verão
Calça Verão Tactel,2020-02-01,121,20,40,Tactel,Verão
Camisa Verão Algodão,2020-02-01,157,22,44,Algodão,Verão
Saia Outono Couro,2020-03-01,144,14,28,Couro,Outono
Vestido Outono Lã,2020-03-01,92,28,56,Lã,Outono
T-shirt Outono Algodão,2020-03-01,185,10,20,Algodão,Outono
Short Outono Sarja,2020-03-01,192,18,36,Sarja,Outono
Cropped Outono Viscose,2020-03-01,120,12,24,Viscose,Outono
Camisa Outono Lã,2020-03-01,127,24,48,Lã,Outono
Blusa Outono Tricô,2020-03-01,147,16,32,Tricô,Outono
Bermuda Outono Jeans,2020-03-01,149,18,36,Jeans,Outono
Calça Outono Algodão,2020-03-01,159,20,40,Algodão,Outono
Calça Outono Sarja,2020-03-01,199,22,44,Sarja,Outono
Vestido Outono Lã,2020-04-01,134,28,56,Lã,Outono
T-shirt Outono Algodão,2020-04-01,115,10,20,Algodão,Outono
Short Outono Sarja,2020-04-01,98,18,36,Sarja,Outono
Saia Outono Couro,2020-04-01,118,14,28,Couro,Outono
Cropped Outono Viscose,2020-04-01,139,12,24,Viscose,Outono
Camisa Outono Lã,2020-04-01,194,24,48,Lã,Outono
Blusa Outono Tricô,2020-04-01,125,16,32,Tricô,Outono
Bermuda Outono Jeans,2020-04-01,147,18,36,Jeans,Outono
Calça Outono Algodão,2020-04-01,140,20,40,Algodão,Outono
Calça Outono Sarja,2020-04-01,176,22,44,Sarja,Outono
T-shirt Inverno Algodão,2020-05-01,217,12,24,Algodão,Inverno
Short Inverno Moletom,2020-05-01,125,18,36,Moletom,Inverno
Saia Inverno Lã,2020-05-01,126,22,44,Lã,Inverno
Cropped Inverno Algodão,2020-05-01,172,14,28,Algodão,Inverno
Vestido Inverno Lã,2020-05-01,162,32,64,Lã,Inverno
Blusa Inverno Lã,2020-05-01,197,26,52,Lã,Inverno
Bermuda Inverno Moletom,2020-05-01,159,20,40,Moletom,Inverno
Calça Inverno Malha,2020-05-01,131,28,56,Malha,Inverno
Calça Inverno Lã,2020-05-01,160,30,60,Lã,Inverno
Camisa Inverno Flanela,2020-05-01,175,24,48,Flanela,Inverno
Vestido Inverno Lã,2020-06-01,167,32,64,Lã,Inverno
T-shirt Inverno Algodão,2020-06-01,158,12,24,Algodão,Inverno
Short Inverno Moletom,2020-06-01,174,18,36,Moletom,Inverno
Saia Inverno Lã,2020-06-01,178,22,44,Lã,Inverno
Cropped Inverno Algodão,2020-06-01,184,14,28,Algodão,Inverno
Camisa Inverno Flanela,2020-06-01,162,24,48,Flanela,Inverno
Blusa Inverno Lã,2020-06-01,138,26,52,Lã,Inverno
Bermuda Inverno Moletom,2020-06-01,148,20,40,Moletom,Inverno
Calça Inverno Malha,2020-06-01,180,28,56,Malha,Inverno
Calça Inverno Lã,2020-06-01,119,30,60,Lã,Inverno
Vestido Inverno Lã,2020-07-01,155,32,64,Lã,Inverno
T-shirt Inverno Algodão,2020-07-01,132,12,24,Algodão,Inverno
Short Inverno Moletom,2020-07-01,145,18,36,Moletom,Inverno
Saia Inverno Lã,2020-07-01,182,22,44,Lã,Inverno
Cropped Inverno Algodão,2020-07-01,150,14,28,Algodão,Inverno
Camisa Inverno Flanela,2020-07-01,146,24,48,Flanela,Inverno
Blusa Inverno Lã,2020-07-01,104,26,52,Lã,Inverno
Bermuda Inverno Moletom,2020-07-01,167,20,40,Moletom,Inverno
Calça Inverno Malha,2020-07-01,164,28,56,Malha,Inverno
Calça Inverno Lã,2020-07-01,210,30,60,Lã,Inverno
Vestido Primavera Chiffon,2020-08-01,136,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2020-08-01,152,10,20,Poliéster,Primavera
Short Primavera Algodão,2020-08-01,153,18,36,Algodão,Primavera
Saia Primavera Seda,2020-08-01,193,14,28,Seda,Primavera
Cropped Primavera Linho,2020-08-01,143,12,24,Linho,Primavera
Camisa Primavera Viscose,2020-08-01,154,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2020-08-01,164,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2020-08-01,152,18,36,Algodão,Primavera
Calça Primavera Linho,2020-08-01,133,22,44,Linho,Primavera
Calça Primavera Viscose,2020-08-01,152,20,40,Viscose,Primavera
T-shirt Primavera Poliéster,2020-09-01,179,10,20,Poliéster,Primavera
Short Primavera Algodão,2020-09-01,116,18,36,Algodão,Primavera
Saia Primavera Seda,2020-09-01,151,14,28,Seda,Primavera
Cropped Primavera Linho,2020-09-01,126,12,24,Linho,Primavera
Vestido Primavera Chiffon,2020-09-01,183,30,60,Chiffon,Primavera
Blusa Primavera Chiffon,2020-09-01,102,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2020-09-01,131,18,36,Algodão,Primavera
Calça Primavera Linho,2020-09-01,159,22,44,Linho,Primavera
Calça Primavera Viscose,2020-09-01,195,20,40,Viscose,Primavera
Camisa Primavera Viscose,2020-09-01,146,24,48,Viscose,Primavera
Vestido Primavera Chiffon,2020-10-01,131,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2020-10-01,205,10,20,Poliéster,Primavera
Short Primavera Algodão,2020-10-01,105,18,36,Algodão,Primavera
Saia Primavera Seda,2020-10-01,83,14,28,Seda,Primavera
Cropped Primavera Linho,2020-10-01,162,12,24,Linho,Primavera
Camisa Primavera Viscose,2020-10-01,134,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2020-10-01,118,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2020-10-01,170,18,36,Algodão,Primavera
Calça Primavera Linho,2020-10-01,157,22,44,Linho,Primavera
Calça Primavera Viscose,2020-10-01,132,20,40,Viscose,Primavera
T-shirt Verão Poliéster,2020-11-01,111,8,16,Poliéster,Verão
Short Verão Jeans,2020-11-01,176,16,32,Jeans,Verão
Saia Verão Viscose,2020-11-01,169,12,24,Viscose,Verão
Cropped Verão Algodão,2020-11-01,147,10,20,Algodão,Verão
Vestido Verão Cetim,2020-11-01,205,30,60,Cetim,Verão
Blusa Verão Seda,2020-11-01,118,18,36,Seda,Verão
Bermuda Verão Jeans,2020-11-01,105,15,30,Jeans,Verão
Calça Verão Cetim,2020-11-01,130,25,50,Cetim,Verão
Calça Verão Tactel,2020-11-01,149,20,40,Tactel,Verão
Camisa Verão Algodão,2020-11-01,158,22,44,Algodão,Verão
T-shirt Verão Poliéster,2020-12-01,144,8,16,Poliéster,Verão
Short Verão Jeans,2020-12-01,162,16,32,Jeans,Verão
Saia Verão Viscose,2020-12-01,114,12,24,Viscose,Verão
Cropped Verão Algodão,2020-12-01,195,10,20,Algodão,Verão
Vestido Verão Cetim,2020-12-01,149,30,60,Cetim,Verão
Blusa Verão Seda,2020-12-01,185,18,36,Seda,Verão
Bermuda Verão Jeans,2020-12-01,162,15,30,Jeans,Verão
Calça Verão Cetim,2020-12-01,166,25,50,Cetim,Verão
Calça Verão Tactel,2020-12-01,169,20,40,Tactel,Verão
Camisa Verão Algodão,2020-12-01,166,22,44,Algodão,Verão
Vestido Verão Cetim,2021-01-01,172,30,60,Cetim,Verão
T-shirt Verão Poliéster,2021-01-01,192,8,16,Poliéster,Verão
Short Verão Jeans,2021-01-01,159,16,32,Jeans,Verão
Saia Verão Viscose,2021-01-01,174,12,24,Viscose,Verão
Cropped Verão Algodão,2021-01-01,150,10,20,Algodão,Verão
Camisa Verão Algodão,2021-01-01,196,22,44,Algodão,Verão
Bermuda Verão Jeans,2021-01-01,133,15,30,Jeans,Verão
Calça Verão Cetim,2021-01-01,207,25,50,Cetim,Verão
Calça Verão Tactel,2021-01-01,152,20,40,Tactel,Verão
Blusa Verão Seda,2021-01-01,111,18,36,Seda,Verão
Saia Verão Viscose,2021-02-01,158,12,24,Viscose,Verão
T-shirt Verão Poliéster,2021-02-01,134,8,16,Poliéster,Verão
Short Verão Jeans,2021-02-01,179,16,32,Jeans,Verão
Vestido Verão Cetim,2021-02-01,135,30,60,Cetim,Verão
Cropped Verão Algodão,2021-02-01,141,10,20,Algodão,Verão
Bermuda Verão Jeans,2021-02-01,98,15,30,Jeans,Verão
Blusa Verão Seda,2021-02-01,141,18,36,Seda,Verão
Calça Verão Cetim,2021-02-01,82,25,50,Cetim,Verão
Calça Verão Tactel,2021-02-01,108,20,40,Tactel,Verão
Camisa Verão Algodão,2021-02-01,178,22,44,Algodão,Verão
Vestido Outono Lã,2021-03-01,179,28,56,Lã,Outono
T-shirt Outono Algodão,2021-03-01,168,10,20,Algodão,Outono
Short Outono Sarja,2021-03-01,127,18,36,Sarja,Outono
Saia Outono Couro,2021-03-01,154,14,28,Couro,Outono
Cropped Outono Viscose,2021-03-01,156,12,24,Viscose,Outono
Blusa Outono Tricô,2021-03-01,121,16,32,Tricô,Outono
Bermuda Outono Jeans,2021-03-01,201,18,36,Jeans,Outono
Calça Outono Algodão,2021-03-01,183,20,40,Algodão,Outono
Calça Outono Sarja,2021-03-01,150,22,44,Sarja,Outono
Camisa Outono Lã,2021-03-01,157,24,48,Lã,Outono
Saia Outono Couro,2021-04-01,163,14,28,Couro,Outono
Vestido Outono Lã,2021-04-01,96,28,56,Lã,Outono
T-shirt Outono Algodão,2021-04-01,150,10,20,Algodão,Outono
Short Outono Sarja,2021-04-01,137,18,36,Sarja,Outono
Cropped Outono Viscose,2021-04-01,127,12,24,Viscose,Outono
Camisa Outono Lã,2021-04-01,149,24,48,Lã,Outono
Blusa Outono Tricô,2021-04-01,212,16,32,Tricô,Outono
Bermuda Outono Jeans,2021-04-01,177,18,36,Jeans,Outono
Calça Outono Algodão,2021-04-01,141,20,40,Algodão,Outono
Calça Outono Sarja,2021-04-01,175,22,44,Sarja,Outono
Vestido Inverno Lã,2021-05-01,200,32,64,Lã,Inverno
T-shirt Inverno Algodão,2021-05-01,186,12,24,Algodão,Inverno
Short Inverno Moletom,2021-05-01,160,18,36,Moletom,Inverno
Saia Inverno Lã,2021-05-01,139,22,44,Lã,Inverno
Cropped Inverno Algodão,2021-05-01,180,14,28,Algodão,Inverno
Camisa Inverno Flanela,2021-05-01,171,24,48,Flanela,Inverno
Blusa Inverno Lã,2021-05-01,186,26,52,Lã,Inverno
Bermuda Inverno Moletom,2021-05-01,178,20,40,Moletom,Inverno
Calça Inverno Malha,2021-05-01,191,28,56,Malha,Inverno
Calça Inverno Lã,2021-05-01,144,30,60,Lã,Inverno
Vestido Inverno Lã,2021-06-01,199,32,64,Lã,Inverno
T-shirt Inverno Algodão,2021-06-01,166,12,24,Algodão,Inverno
Short Inverno Moletom,2021-06-01,222,18,36,Moletom,Inverno
Saia Inverno Lã,2021-06-01,139,22,44,Lã,Inverno
Cropped Inverno Algodão,2021-06-01,212,14,28,Algodão,Inverno
Camisa Inverno Flanela,2021-06-01,166,24,48,Flanela,Inverno
Blusa Inverno Lã,2021-06-01,141,26,52,Lã,Inverno
Bermuda Inverno Moletom,2021-06-01,146,20,40,Moletom,Inverno
Calça Inverno Malha,2021-06-01,151,28,56,Malha,Inverno
Calça Inverno Lã,2021-06-01,174,30,60,Lã,Inverno
Vestido Inverno Lã,2021-07-01,177,32,64,Lã,Inverno
T-shirt Inverno Algodão,2021-07-01,144,12,24,Algodão,Inverno
Short Inverno Moletom,2021-07-01,161,18,36,Moletom,Inverno
Saia Inverno Lã,2021-07-01,226,22,44,Lã,Inverno
Cropped Inverno Algodão,2021-07-01,214,14,28,Algodão,Inverno
Camisa Inverno Flanela,2021-07-01,175,24,48,Flanela,Inverno
Blusa Inverno Lã,2021-07-01,163,26,52,Lã,Inverno
Bermuda Inverno Moletom,2021-07-01,166,20,40,Moletom,Inverno
Calça Inverno Malha,2021-07-01,181,28,56,Malha,Inverno
Calça Inverno Lã,2021-07-01,132,30,60,Lã,Inverno
Vestido Primavera Chiffon,2021-08-01,155,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2021-08-01,113,10,20,Poliéster,Primavera
Short Primavera Algodão,2021-08-01,175,18,36,Algodão,Primavera
Saia Primavera Seda,2021-08-01,183,14,28,Seda,Primavera
Camisa Primavera Viscose,2021-08-01,149,24,48,Viscose,Primavera
Bermuda Primavera Algodão,2021-08-01,211,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2021-08-01,127,16,32,Chiffon,Primavera
Calça Primavera Linho,2021-08-01,120,22,44,Linho,Primavera
Calça Primavera Viscose,2021-08-01,171,20,40,Viscose,Primavera
Cropped Primavera Linho,2021-08-01,195,12,24,Linho,Primavera
Vestido Primavera Chiffon,2021-09-01,215,30,60,Chiffon,Primavera
Calça Primavera Viscose,2021-09-01,150,20,40,Viscose,Primavera
Calça Primavera Linho,2021-09-01,197,22,44,Linho,Primavera
Bermuda Primavera Algodão,2021-09-01,163,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2021-09-01,160,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2021-09-01,191,24,48,Viscose,Primavera
Cropped Primavera Linho,2021-09-01,185,12,24,Linho,Primavera
Saia Primavera Seda,2021-09-01,118,14,28,Seda,Primavera
Short Primavera Algodão,2021-09-01,210,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2021-09-01,207,10,20,Poliéster,Primavera
Short Primavera Algodão,2021-10-01,147,18,36,Algodão,Primavera
Saia Primavera Seda,2021-10-01,178,14,28,Seda,Primavera
Vestido Primavera Chiffon,2021-10-01,181,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2021-10-01,174,10,20,Poliéster,Primavera
Cropped Primavera Linho,2021-10-01,150,12,24,Linho,Primavera
Camisa Primavera Viscose,2021-10-01,146,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2021-10-01,166,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2021-10-01,202,18,36,Algodão,Primavera
Calça Primavera Linho,2021-10-01,183,22,44,Linho,Primavera
Calça Primavera Viscose,2021-10-01,156,20,40,Viscose,Primavera
Vestido Verão Cetim,2021-11-01,190,30,60,Cetim,Verão
T-shirt Verão Poliéster,2021-11-01,82,8,16,Poliéster,Verão
Short Verão Jeans,2021-11-01,202,16,32,Jeans,Verão
Saia Verão Viscose,2021-11-01,115,12,24,Viscose,Verão
Cropped Verão Algodão,2021-11-01,157,10,20,Algodão,Verão
Camisa Verão Algodão,2021-11-01,134,22,44,Algodão,Verão
Blusa Verão Seda,2021-11-01,129,18,36,Seda,Verão
Bermuda Verão Jeans,2021-11-01,203,15,30,Jeans,Verão
Calça Verão Cetim,2021-11-01,154,25,50,Cetim,Verão
Calça Verão Tactel,2021-11-01,179,20,40,Tactel,Verão
Vestido Verão Cetim,2021-12-01,167,30,60,Cetim,Verão
T-shirt Verão Poliéster,2021-12-01,183,8,16,Poliéster,Verão
Short Verão Jeans,2021-12-01,171,16,32,Jeans,Verão
Saia Verão Viscose,2021-12-01,130,12,24,Viscose,Verão
Cropped Verão Algodão,2021-12-01,199,10,20,Algodão,Verão
Blusa Verão Seda,2021-12-01,154,18,36,Seda,Verão
Bermuda Verão Jeans,2021-12-01,123,15,30,Jeans,Verão
Calça Verão Cetim,2021-12-01,157,25,50,Cetim,Verão
Calça Verão Tactel,2021-12-01,215,20,40,Tactel,Verão
Camisa Verão Algodão,2021-12-01,195,22,44,Algodão,Verão
Camisa Verão Algodão,2022-01-01,160,22,44,Algodão,Verão
Calça Verão Tactel,2022-01-01,160,20,40,Tactel,Verão
Calça Verão Cetim,2022-01-01,161,25,50,Cetim,Verão
Bermuda Verão Jeans,2022-01-01,233,15,30,Jeans,Verão
Blusa Verão Seda,2022-01-01,182,18,36,Seda,Verão
Cropped Verão Algodão,2022-01-01,184,10,20,Algodão,Verão
Saia Verão Viscose,2022-01-01,202,12,24,Viscose,Verão
Short Verão Jeans,2022-01-01,178,16,32,Jeans,Verão
T-shirt Verão Poliéster,2022-01-01,163,8,16,Poliéster,Verão
Vestido Verão Cetim,2022-01-01,165,30,60,Cetim,Verão
Short Verão Jeans,2022-02-01,169,16,32,Jeans,Verão
Saia Verão Viscose,2022-02-01,170,12,24,Viscose,Verão
Vestido Verão Cetim,2022-02-01,194,30,60,Cetim,Verão
T-shirt Verão Poliéster,2022-02-01,173,8,16,Poliéster,Verão
Cropped Verão Algodão,2022-02-01,194,10,20,Algodão,Verão
Camisa Verão Algodão,2022-02-01,170,22,44,Algodão,Verão
Blusa Verão Seda,2022-02-01,175,18,36,Seda,Verão
Bermuda Verão Jeans,2022-02-01,113,15,30,Jeans,Verão
Calça Verão Cetim,2022-02-01,200,25,50,Cetim,Verão
Calça Verão Tactel,2022-02-01,183,20,40,Tactel,Verão
Vestido Outono Lã,2022-03-01,203,28,56,Lã,Outono
T-shirt Outono Algodão,2022-03-01,86,10,20,Algodão,Outono
Short Outono Sarja,2022-03-01,236,18,36,Sarja,Outono
Saia Outono Couro,2022-03-01,169,14,28,Couro,Outono
Cropped Outono Viscose,2022-03-01,207,12,24,Viscose,Outono
Blusa Outono Tricô,2022-03-01,142,16,32,Tricô,Outono
Bermuda Outono Jeans,2022-03-01,192,18,36,Jeans,Outono
Calça Outono Algodão,2022-03-01,142,20,40,Algodão,Outono
Calça Outono Sarja,2022-03-01,155,22,44,Sarja,Outono
Camisa Outono Lã,2022-03-01,232,24,48,Lã,Outono
Saia Outono Couro,2022-04-01,169,14,28,Couro,Outono
Vestido Outono Lã,2022-04-01,181,28,56,Lã,Outono
T-shirt Outono Algodão,2022-04-01,201,10,20,Algodão,Outono
Short Outono Sarja,2022-04-01,190,18,36,Sarja,Outono
Cropped Outono Viscose,2022-04-01,179,12,24,Viscose,Outono
Camisa Outono Lã,2022-04-01,186,24,48,Lã,Outono
Blusa Outono Tricô,2022-04-01,247,16,32,Tricô,Outono
Bermuda Outono Jeans,2022-04-01,174,18,36,Jeans,Outono
Calça Outono Algodão,2022-04-01,182,20,40,Algodão,Outono
Calça Outono Sarja,2022-04-01,207,22,44,Sarja,Outono
Vestido Inverno Lã,2022-05-01,209,32,64,Lã,Inverno
T-shirt Inverno Algodão,2022-05-01,212,12,24,Algodão,Inverno
Short Inverno Moletom,2022-05-01,195,18,36,Moletom,Inverno
Saia Inverno Lã,2022-05-01,142,22,44,Lã,Inverno
Cropped Inverno Algodão,2022-05-01,225,14,28,Algodão,Inverno
Camisa Inverno Flanela,2022-05-01,142,24,48,Flanela,Inverno
Blusa Inverno Lã,2022-05-01,186,26,52,Lã,Inverno
Bermuda Inverno Moletom,2022-05-01,154,20,40,Moletom,Inverno
Calça Inverno Malha,2022-05-01,175,28,56,Malha,Inverno
Calça Inverno Lã,2022-05-01,187,30,60,Lã,Inverno
T-shirt Inverno Algodão,2022-06-01,187,12,24,Algodão,Inverno
Vestido Inverno Lã,2022-06-01,190,32,64,Lã,Inverno
Saia Inverno Lã,2022-06-01,226,22,44,Lã,Inverno
Cropped Inverno Algodão,2022-06-01,191,14,28,Algodão,Inverno
Short Inverno Moletom,2022-06-01,171,18,36,Moletom,Inverno
Blusa Inverno Lã,2022-06-01,207,26,52,Lã,Inverno
Bermuda Inverno Moletom,2022-06-01,214,20,40,Moletom,Inverno
Calça Inverno Malha,2022-06-01,141,28,56,Malha,Inverno
Calça Inverno Lã,2022-06-01,196,30,60,Lã,Inverno
Camisa Inverno Flanela,2022-06-01,200,24,48,Flanela,Inverno
Vestido Inverno Lã,2022-07-01,170,32,64,Lã,Inverno
T-shirt Inverno Algodão,2022-07-01,220,12,24,Algodão,Inverno
Short Inverno Moletom,2022-07-01,175,18,36,Moletom,Inverno
Saia Inverno Lã,2022-07-01,183,22,44,Lã,Inverno
Cropped Inverno Algodão,2022-07-01,174,14,28,Algodão,Inverno
Camisa Inverno Flanela,2022-07-01,180,24,48,Flanela,Inverno
Blusa Inverno Lã,2022-07-01,147,26,52,Lã,Inverno
Bermuda Inverno Moletom,2022-07-01,137,20,40,Moletom,Inverno
Calça Inverno Malha,2022-07-01,228,28,56,Malha,Inverno
Calça Inverno Lã,2022-07-01,155,30,60,Lã,Inverno
Vestido Primavera Chiffon,2022-08-01,150,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2022-08-01,116,10,20,Poliéster,Primavera
Short Primavera Algodão,2022-08-01,161,18,36,Algodão,Primavera
Saia Primavera Seda,2022-08-01,141,14,28,Seda,Primavera
Cropped Primavera Linho,2022-08-01,230,12,24,Linho,Primavera
Camisa Primavera Viscose,2022-08-01,211,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2022-08-01,160,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2022-08-01,249,18,36,Algodão,Primavera
Calça Primavera Linho,2022-08-01,211,22,44,Linho,Primavera
Calça Primavera Viscose,2022-08-01,172,20,40,Viscose,Primavera
Vestido Primavera Chiffon,2022-09-01,107,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2022-09-01,251,10,20,Poliéster,Primavera
Short Primavera Algodão,2022-09-01,140,18,36,Algodão,Primavera
Saia Primavera Seda,2022-09-01,133,14,28,Seda,Primavera
Cropped Primavera Linho,2022-09-01,213,12,24,Linho,Primavera
Blusa Primavera Chiffon,2022-09-01,256,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2022-09-01,224,18,36,Algodão,Primavera
Calça Primavera Linho,2022-09-01,200,22,44,Linho,Primavera
Calça Primavera Viscose,2022-09-01,201,20,40,Viscose,Primavera
Camisa Primavera Viscose,2022-09-01,209,24,48,Viscose,Primavera
Saia Primavera Seda,2022-10-01,206,14,28,Seda,Primavera
Vestido Primavera Chiffon,2022-10-01,192,30,60,Chiffon,Primavera
T-shirt Primavera Poliéster,2022-10-01,187,10,20,Poliéster,Primavera
Short Primavera Algodão,2022-10-01,182,18,36,Algodão,Primavera
Cropped Primavera Linho,2022-10-01,161,12,24,Linho,Primavera
Camisa Primavera Viscose,2022-10-01,175,24,48,Viscose,Primavera
Blusa Primavera Chiffon,2022-10-01,133,16,32,Chiffon,Primavera
Bermuda Primavera Algodão,2022-10-01,181,18,36,Algodão,Primavera
Calça Primavera Linho,2022-10-01,155,22,44,Linho,Primavera
Calça Primavera Viscose,2022-10-01,151,20,40,Viscose,Primavera
Vestido Verão Cetim,2022-11-01,190,30,60,Cetim,Verão
T-shirt Verão Poliéster,2022-11-01,227,8,16,Poliéster,Verão
Short Verão Jeans,2022-11-01,212,16,32,Jeans,Verão
Saia Verão Viscose,2022-11-01,138,12,24,Viscose,Verão
Cropped Verão Algodão,2022-11-01,155,10,20,Algodão,Verão
Blusa Verão Seda,2022-11-01,214,18,36,Seda,Verão
Bermuda Verão Jeans,2022-11-01,156,15,30,Jeans,Verão
Calça Verão Cetim,2022-11-01,179,25,50,Cetim,Verão
Calça Verão Tactel,2022-11-01,202,20,40,Tactel,Verão
Camisa Verão Algodão,2022-11-01,157,22,44,Algodão,Verão
Saia Verão Viscose,2022-12-01,189,12,24,Viscose,Verão
Vestido Verão Cetim,2022-12-01,146,30,60,Cetim,Verão
T-shirt Verão Poliéster,2022-12-01,168,8,16,Poliéster,Verão
Short Verão Jeans,2022-12-01,196,16,32,Jeans,Verão
Cropped Verão Algodão,2022-12-01,139,10,20,Algodão,Verão
Camisa Verão Algodão,2022-12-01,200,22,44,Algodão,Verão
Blusa Verão Seda,2022-12-01,186,18,36,Seda,Verão
Bermuda Verão Jeans,2022-12-01,204,15,30,Jeans,Verão
Calça Verão Cetim,2022-12-01,194,25,50,Cetim,Verão
Calça Verão Tactel,2022-12-01,228,20,40,Tactel,Verão
Vestido Verão Cetim,2023-01-01,191,30,60,Cetim,Verão
T-shirt Verão Poliéster,2023-01-01,175,8,16,Poliéster,Verão
Short Verão Jeans,2023-01-01,191,16,32,Jeans,Verão
Saia Verão Viscose,2023-01-01,204,12,24,Viscose,Verão
Cropped Verão Algodão,2023-01-01,190,10,20,Algodão,Verão
Camisa Verão Algodão,2023-01-01,189,22,44,Algodão,Verão
Blusa Verão Seda,2023-01-01,167,18,36,Seda,Verão
Bermuda Verão Jeans,2023-01-01,169,15,30,Jeans,Verão
Calça Verão Cetim,2023-01-01,147,25,50,Cetim,Verão
Calça Verão Tactel,2023-01-01,241,20,40,Tactel,Verão
T-shirt Verão Poliéster,2023-02-01,152,8,16,Poliéster,Verão
Vestido Verão Cetim,2023-02-01,168,30,60,Cetim,Verão
Saia Verão Viscose,2023-02-01,168,12,24,Viscose,Verão
Cropped Verão Algodão,2023-02-01,216,10,20,Algodão,Verão
Short Verão Jeans,2023-02-01,181,16,32,Jeans,Verão
Blusa Verão Seda,2023-02-01,227,18,36,Seda,Verão
Bermuda Verão Jeans,2023-02-01,170,15,30,Jeans,Verão
